Product Name,Commercial Partner,Molecular Weight (kDa),Functional Group / Reactivity,Polymer Architecture,Solubility,Intended Application,Polydispersity Index (PDI),Application,Product Page
PEG 3K Azide,Avantor,3,Azide,Linear,Organic solvent soluble,Chemical biology,1.02,Click-based probe synthesis,https://polysciences.com/collections/azide-pegs
PEG 7K NHS,Thermo Fisher,7,NHS ester,Linear,Water-soluble,Biomolecule conjugation,1.03,Amine group targeting,https://www.thermofisher.com/search/browse/category/us/en/90222233
PEG 18K Aldehyde,Sigma-Aldrich,18,Aldehyde,Linear,Water-soluble,Protein PEGylation,1.06,Selective protein modification,https://www.sigmaaldrich.com/US/en/search?term=PEG+18K+Aldehyde&type=product
6-arm PEG 15K,Avantor,15,NHS ester,Multi-arm,Water-soluble,Hydrogel applications,1.13,3D cell culture support,https://polysciences.com/collections/maleimide-pegs
PEG 8K Carboxyl,Thermo Fisher,8,Carboxyl,Linear,Water-soluble,Surface modification,1.07,Microarray preparation,https://www.thermofisher.com/search/browse/category/us/en/90222233
PEG 50K Maleimide,Sigma-Aldrich,50,Maleimide,Linear,Water-soluble,High MW PEGylation,1.18,Macromolecular protection,https://www.sigmaaldrich.com/US/en/search?term=PEG+50K+Maleimide&type=product
8-arm PEG 30K,Avantor,30,NHS ester,Multi-arm,Water-soluble,Hydrogel network,1.1,Soft biomaterials,https://polysciences.com/collections/maleimide-pegs
PEG 6K Azide,Thermo Fisher,6,Azide,Linear,Organic solvent soluble,Orthogonal labeling,1.03,In situ bio-chemistry,https://polysciences.com/collections/azide-pegs
4-arm PEG 5K,Sigma-Aldrich,5,Maleimide,Multi-arm,Water-soluble,Tissue engineering,1.1,Matrix stabilization,https://www.thermofisher.com/order/catalog/product/22104
PEG 9K NHS,Avantor,9,NHS ester,Linear,Water-soluble,Biomolecule PEGylation,1.04,General purpose,https://www.sigmaaldrich.com/US/en/search?term=PEG+9K+NHS&type=product
PEG 13K Carboxyl,Thermo Fisher,13,Carboxyl,Linear,Water-soluble,Enzyme coating,1.09,Enzyme stabilization,https://www.sigmaaldrich.com/US/en/search?term=PEG+13K+Carboxyl&type=product
PEG 17K Maleimide,Sigma-Aldrich,17,Maleimide,Linear,Water-soluble,Drug linker,1.06,Payload attachment,https://www.sigmaaldrich.com/US/en/search?term=PEG+17K+Maleimide&type=product
Y-shaped PEG 12K,Avantor,12,NHS ester,Bifunctional,Water-soluble,Diagnostic probes,1.08,Dual site modification,https://polysciences.com/collections/heterobifunctional-pegs
PEG 22K Aldehyde,Thermo Fisher,22,Aldehyde,Linear,Water-soluble,Protein cross-linking,1.15,Site-specific binding,https://www.sigmaaldrich.com/US/en/search?term=PEG+22K+Aldehyde&type=product
PEG 14K Azide,Sigma-Aldrich,14,Azide,Linear,Organic solvent soluble,Click-based therapeutics,1.04,Tagging & labeling,https://www.sigmaaldrich.com/US/en/search?term=PEG+14K+Azide&type=product
6-arm PEG 7K,Avantor,7,Maleimide,Multi-arm,Water-soluble,Hydrogel precursor,1.12,Biomaterial synthesis,https://polysciences.com/collections/maleimide-pegs
PEG 31K NHS,Thermo Fisher,31,NHS ester,Linear,Water-soluble,Steric shielding,1.09,Reducing immunogenicity,https://www.thermofisher.com/order/catalog/product/22105
PEG 11K Carboxyl,Sigma-Aldrich,11,Carboxyl,Linear,Water-soluble,Nanoparticle PEGylation,1.08,Stable colloids,https://www.sigmaaldrich.com/US/en/search?term=PEG+11K+Carboxyl&type=product
8-arm PEG 12K,Avantor,12,NHS ester,Multi-arm,Water-soluble,Gel matrix creation,1.09,Cell encapsulation,https://polysciences.com/collections/maleimide-pegs
PEG 16K Maleimide,Thermo Fisher,16,Maleimide,Linear,Water-soluble,Therapeutic delivery,1.16,Improved circulation half-life,https://www.sigmaaldrich.com/US/en/search?term=PEG+16K+Maleimide&type=product
PEG 27K NHS,Sigma-Aldrich,27,NHS ester,Linear,Water-soluble,Polypeptide conjugation,1.07,Extending in vivo lifetime,https://www.thermofisher.com/search/browse/category/us/en/90222233
4-arm PEG 8K,Avantor,8,Amine,Multi-arm,Water-soluble,Biodegradable hydrogels,1.1,Drug depot formulation,https://polysciences.com/collections/maleimide-pegs
PEG 21K Aldehyde,Thermo Fisher,21,Aldehyde,Linear,Water-soluble,Protein cross-linking,1.08,Bioconjugate assembly,https://www.sigmaaldrich.com/US/en/search?term=4-arm+PEG+8K&type=product
PEG 19K Azide,Sigma-Aldrich,19,Azide,Linear,Organic solvent soluble,Click toolkit,1.03,Labeled therapeutic probes,https://www.sigmaaldrich.com/US/en/search?term=PEG+21K+Aldehyde&type=product
6-arm PEG 18K,Avantor,18,NHS ester,Multi-arm,Water-soluble,Hydrogel reinforcement,1.12,3D cell embedding,https://www.sigmaaldrich.com/US/en/search?term=PEG+19K+Azide&type=product
PEG 28K Carboxyl,Thermo Fisher,28,Carboxyl,Linear,Water-soluble,Biomaterial stabilization,1.09,Implant coatings,https://polysciences.com/collections/maleimide-pegs
PEG 45K Maleimide,Sigma-Aldrich,45,Maleimide,Linear,Water-soluble,Bulk PEGylation,1.19,Macromolecule stabilization,https://www.sigmaaldrich.com/US/en/search?term=PEG+28K+Carboxyl&type=product
Y-shaped PEG 9K,Avantor,9,NHS ester,Bifunctional,Water-soluble,Imaging agent,1.07,Targeted delivery via dual conjugation,https://www.sigmaaldrich.com/US/en/search?term=PEG+45K+Maleimide&type=product
PEG 23K Aldehyde,Thermo Fisher,23,Aldehyde,Linear,Water-soluble,Protein cross-linking,1.15,Covalent assembly,https://polysciences.com/collections/azide-pegs
PEG 10K Azide,Sigma-Aldrich,10,Azide,Linear,Organic solvent soluble,Click-enabled scaffolds,1.04,Linker design,https://www.sigmaaldrich.com/US/en/search?term=PEG+23K+Aldehyde&type=product
6-arm PEG 16K,Avantor,16,Maleimide,Multi-arm,Water-soluble,Biomaterials,1.1,Cell encapsulation,https://www.sigmaaldrich.com/US/en/search?term=PEG+10K+Azide&type=product
PEG 34K NHS,Thermo Fisher,34,NHS ester,Linear,Water-soluble,Protein PEGylation,1.12,High MW protein binding,https://www.sigmaaldrich.com/US/en/search?term=6-arm+PEG+16K&type=product
PEG 8K Carboxyl,Sigma-Aldrich,8,Carboxyl,Linear,Water-soluble,Nanoparticle surface passivation,1.05,Stealth effects,https://www.sigmaaldrich.com/US/en/search?term=PEG+34K+NHS&type=product
4-arm PEG 16K,Avantor,16,NHS ester,Multi-arm,Water-soluble,Hydrogel for delivery,1.12,Controlled release matrix,https://www.sigmaaldrich.com/US/en/search?term=4-arm+PEG+16K&type=product
PEG 29K Maleimide,Thermo Fisher,29,Maleimide,Linear,Water-soluble,Glycoprotein PEGylation,1.12,Therapeutic protein formulations,https://www.sigmaaldrich.com/US/en/search?term=PEG+29K+Maleimide&type=product
PEG 32K NHS,Sigma-Aldrich,32,NHS ester,Linear,Water-soluble,Bioprocess medium,1.13,Polymer crowding agent,https://www.sigmaaldrich.com/US/en/search?term=PEG+32K+NHS&type=product
Y-shaped PEG 16K,Avantor,16,Amine,Bifunctional,Water-soluble,Bioactive surfaces,1.09,Bivalency for targeting,https://polysciences.com/collections/maleimide-pegs
PEG 5K Carboxyl,Thermo Fisher,5,Carboxyl,Linear,Water-soluble,Bioanalysis,1.01,Marker for MS assays,https://www.thermofisher.com/search/browse/category/us/en/90222233
PEG 50K NHS,Sigma-Aldrich,50,NHS ester,Linear,Water-soluble,Protein conjugate formation,1.2,Ultrahigh MW PEGylation,https://www.sigmaaldrich.com/US/en/search?term=PEG+50K+NHS&type=product
PEG 24K Maleimide,Avantor,24,Maleimide,Linear,Water-soluble,Glycoconjugate PEGylation,1.15,Prolonged action therapeutics,https://polysciences.com/collections/maleimide-pegs
